"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\VERIFICATION_FLOW_IMPLEMENTATION.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 34, 134
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\.eslintrc.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 1, 20
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\AUTH_API_DOCUMENTATION.md", "Markdown", 206, 0, 0, 0, 0, 0, 0, 39, 245
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\EMAIL_SETUP_GUIDE.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 19, 70
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\ENV_SETUP.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\POSTMAN_TESTING_GUIDE.md", "Markdown", 370, 0, 0, 0, 0, 0, 0, 61, 431
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\adminAccountsController.js", "JavaScript", 0, 92, 0, 0, 0, 0, 5, 14, 111
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\adminController.js", "JavaScript", 0, 599, 0, 0, 0, 0, 61, 102, 762
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\announcementController.js", "JavaScript", 0, 136, 0, 0, 0, 0, 12, 25, 173
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\authController.js", "JavaScript", 0, 565, 0, 0, 0, 0, 44, 88, 697
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\authVerifyController.js", "JavaScript", 0, 21, 0, 0, 0, 0, 1, 5, 27
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\bazaarController.js", "JavaScript", 0, 154, 0, 0, 0, 0, 15, 27, 196
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\boothController.js", "JavaScript", 0, 142, 0, 0, 0, 0, 10, 31, 183
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\courtController.js", "JavaScript", 0, 370, 0, 0, 0, 0, 22, 55, 447
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\dashboardController.js", "JavaScript", 0, 171, 0, 0, 0, 0, 24, 40, 235
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\devEmailController.js", "JavaScript", 0, 75, 0, 0, 0, 0, 5, 10, 90
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\eventController.js", "JavaScript", 0, 1349, 0, 0, 0, 0, 111, 191, 1651
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\gymController.js", "JavaScript", 0, 81, 0, 0, 0, 0, 6, 15, 102
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\gymSessionController.js", "JavaScript", 0, 428, 0, 0, 0, 0, 41, 68, 537
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\paymentVerificationController.js", "JavaScript", 0, 116, 0, 0, 0, 0, 9, 20, 145
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\professorController.js", "JavaScript", 0, 37, 0, 0, 0, 0, 3, 4, 44
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\stripeSuccessController.js", "JavaScript", 0, 110, 0, 0, 0, 0, 9, 18, 137
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\stripeWebhookController.js", "JavaScript", 0, 119, 0, 0, 0, 0, 9, 19, 147
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\studentRegistrationController.js", "JavaScript", 0, 301, 0, 0, 0, 0, 26, 44, 371
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\tripController.js", "JavaScript", 0, 68, 0, 0, 0, 0, 5, 16, 89
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\vendorController.js", "JavaScript", 0, 406, 0, 0, 0, 0, 29, 47, 482
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\vendorRequestController.js", "JavaScript", 0, 297, 0, 0, 0, 0, 41, 41, 379
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\workshopCompletionController.js", "JavaScript", 0, 124, 0, 0, 0, 0, 13, 23, 160
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\controllers\workshopController.js", "JavaScript", 0, 987, 0, 0, 0, 0, 96, 122, 1205
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\create-sample-booths.js", "JavaScript", 0, 81, 0, 0, 0, 0, 7, 10, 98
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\create-sample-vendor-requests.js", "JavaScript", 0, 139, 0, 0, 0, 0, 8, 15, 162
